"","date","Hprum","SCE","SNO","SVH","SRA","SSV","Tprum","T05prum","Fprum","Fmax","Dprum"
"1",1960-12-31,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"2",1961-01-01,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"3",1961-01-02,NA,0,3,NA,2.4,NA,NA,NA,NA,NA,NA
"4",1961-01-03,NA,3,0,NA,1.1,NA,NA,NA,NA,NA,NA
"5",1961-01-04,NA,3,1,NA,1,NA,NA,NA,NA,NA,NA
"6",1961-01-05,NA,4,3,NA,1.5,NA,NA,NA,NA,NA,NA
"7",1961-01-06,NA,7,13,NA,10.4,NA,NA,NA,NA,NA,NA
"8",1961-01-07,NA,20,5,NA,5.7,NA,NA,NA,NA,NA,NA
"9",1961-01-08,NA,25,3,NA,4.2,NA,NA,NA,NA,NA,NA
"10",1961-01-09,NA,27,0,NA,0,NA,NA,NA,NA,NA,NA
"11",1961-01-10,NA,27,2,NA,1.6,NA,NA,NA,NA,NA,NA
"12",1961-01-11,NA,29,0,NA,0,NA,NA,NA,NA,NA,NA
"13",1961-01-12,NA,29,0,NA,0,NA,NA,NA,NA,NA,NA
"14",1961-01-13,NA,29,3,NA,3.4,NA,NA,NA,NA,NA,NA
"15",1961-01-14,NA,32,0,NA,0,NA,NA,NA,NA,NA,NA
"16",1961-01-15,NA,32,0,NA,0,NA,NA,NA,NA,NA,NA
"17",1961-01-16,NA,32,0,NA,0,NA,NA,NA,NA,NA,NA
"18",1961-01-17,NA,32,0,NA,0,NA,NA,NA,NA,NA,NA
"19",1961-01-18,NA,32,0,NA,0,NA,NA,NA,NA,NA,NA
"20",1961-01-19,NA,32,0,NA,0,NA,NA,NA,NA,NA,NA
"21",1961-01-20,NA,32,0,NA,0,NA,NA,NA,NA,NA,NA
"22",1961-01-21,NA,30,2,NA,3.1,NA,NA,NA,NA,NA,NA
"23",1961-01-22,NA,31,1,NA,1,NA,NA,NA,NA,NA,NA
"24",1961-01-23,NA,31,0,NA,0,NA,NA,NA,NA,NA,NA
"25",1961-01-24,NA,31,0,NA,0,NA,NA,NA,NA,NA,NA
"26",1961-01-25,NA,31,0,NA,0,NA,NA,NA,NA,NA,NA
"27",1961-01-26,NA,31,0,NA,0,NA,NA,NA,NA,NA,NA
"28",1961-01-27,NA,31,0,NA,0,NA,NA,NA,NA,NA,NA
"29",1961-01-28,NA,31,0,NA,0,NA,NA,NA,NA,NA,NA
"30",1961-01-29,NA,31,3,NA,13.4,NA,NA,NA,NA,NA,NA
"31",1961-01-30,NA,31,0,NA,26.6,NA,NA,NA,NA,NA,NA
"32",1961-01-31,NA,NA,NA,NA,10.3,NA,NA,NA,NA,NA,NA
"33",1961-02-01,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"34",1961-02-02,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"35",1961-02-03,NA,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA
"36",1961-02-04,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,NA
"37",1961-02-05,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA
"38",1961-02-06,NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA
"39",1961-02-07,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA
"40",1961-02-08,NA,NA,NA,NA,30.2,NA,NA,NA,NA,NA,NA
"41",1961-02-09,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"42",1961-02-10,NA,NA,NA,NA,13.2,NA,NA,NA,NA,NA,NA
"43",1961-02-11,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA
"44",1961-02-12,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"45",1961-02-13,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"46",1961-02-14,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"47",1961-02-15,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"48",1961-02-16,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"49",1961-02-17,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"50",1961-02-18,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA
"51",1961-02-19,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"52",1961-02-20,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"53",1961-02-21,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"54",1961-02-22,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"55",1961-02-23,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"56",1961-02-24,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"57",1961-02-25,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"58",1961-02-26,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA
"59",1961-02-27,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA
"60",1961-02-28,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"61",1961-03-01,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA
"62",1961-03-02,NA,NA,0,NA,0.8,NA,NA,NA,NA,NA,NA
"63",1961-03-03,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"64",1961-03-04,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"65",1961-03-05,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"66",1961-03-06,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"67",1961-03-07,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"68",1961-03-08,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"69",1961-03-09,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"70",1961-03-10,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"71",1961-03-11,NA,0,0,NA,7.8,NA,NA,NA,NA,NA,NA
"72",1961-03-12,NA,0,0,NA,3.5,NA,NA,NA,NA,NA,NA
"73",1961-03-13,NA,0,0,NA,1.6,NA,NA,NA,NA,NA,NA
"74",1961-03-14,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"75",1961-03-15,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"76",1961-03-16,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"77",1961-03-17,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"78",1961-03-18,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"79",1961-03-19,NA,0,20,NA,15.8,NA,NA,NA,NA,NA,NA
"80",1961-03-20,NA,20,17,NA,12.6,NA,NA,NA,NA,NA,NA
"81",1961-03-21,NA,37,10,NA,7.7,NA,NA,NA,NA,NA,NA
"82",1961-03-22,NA,47,0,NA,1,NA,NA,NA,NA,NA,NA
"83",1961-03-23,NA,40,0,NA,0.4,NA,NA,NA,NA,NA,NA
"84",1961-03-24,NA,30,0,NA,0,NA,NA,NA,NA,NA,NA
"85",1961-03-25,NA,20,0,NA,0,NA,NA,NA,NA,NA,NA
"86",1961-03-26,NA,10,7,NA,4.3,NA,NA,NA,NA,NA,NA
"87",1961-03-27,NA,17,18,NA,14.7,NA,NA,NA,NA,NA,NA
"88",1961-03-28,NA,35,0,NA,10.2,NA,NA,NA,NA,NA,NA
"89",1961-03-29,NA,35,0,NA,34.2,NA,NA,NA,NA,NA,NA
"90",1961-03-30,NA,10,0,NA,0,NA,NA,NA,NA,NA,NA
"91",1961-03-31,NA,8,0,NA,24.2,NA,NA,NA,NA,NA,NA
"92",1961-04-01,NA,8,0,NA,28.1,NA,NA,NA,NA,NA,NA
"93",1961-04-02,NA,8,0,NA,6,NA,NA,NA,NA,NA,NA
"94",1961-04-03,NA,0,0,NA,3.7,NA,NA,NA,NA,NA,NA
"95",1961-04-04,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"96",1961-04-05,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"97",1961-04-06,NA,0,0,NA,3.2,NA,NA,NA,NA,NA,NA
"98",1961-04-07,NA,0,0,NA,2.3,NA,NA,NA,NA,NA,NA
"99",1961-04-08,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"100",1961-04-09,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"101",1961-04-10,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"102",1961-04-11,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"103",1961-04-12,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"104",1961-04-13,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"105",1961-04-14,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"106",1961-04-15,NA,0,0,NA,23.6,NA,NA,NA,NA,NA,NA
"107",1961-04-16,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"108",1961-04-17,NA,0,0,NA,8.5,NA,NA,NA,NA,NA,NA
"109",1961-04-18,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"110",1961-04-19,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"111",1961-04-20,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"112",1961-04-21,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"113",1961-04-22,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"114",1961-04-23,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"115",1961-04-24,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"116",1961-04-25,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"117",1961-04-26,NA,0,0,NA,2.6,NA,NA,NA,NA,NA,NA
"118",1961-04-27,NA,0,0,NA,1.2,NA,NA,NA,NA,NA,NA
"119",1961-04-28,NA,0,0,NA,1.4,NA,NA,NA,NA,NA,NA
"120",1961-04-29,NA,0,0,NA,7.2,NA,NA,NA,NA,NA,NA
"121",1961-04-30,NA,0,0,NA,14.2,NA,NA,NA,NA,NA,NA
"122",1961-05-01,NA,0,0,NA,6.4,NA,NA,NA,NA,NA,NA
"123",1961-05-02,NA,0,0,NA,0.5,NA,NA,NA,NA,NA,NA
"124",1961-05-03,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"125",1961-05-04,NA,0,0,NA,2.8,NA,NA,NA,NA,NA,NA
"126",1961-05-05,NA,0,0,NA,1.5,NA,NA,NA,NA,NA,NA
"127",1961-05-06,NA,0,0,NA,3.8,NA,NA,NA,NA,NA,NA
"128",1961-05-07,NA,0,0,NA,27.3,NA,NA,NA,NA,NA,NA
"129",1961-05-08,NA,0,0,NA,33.4,NA,NA,NA,NA,NA,NA
"130",1961-05-09,NA,0,0,NA,18.1,NA,NA,NA,NA,NA,NA
"131",1961-05-10,NA,0,0,NA,14.2,NA,NA,NA,NA,NA,NA
"132",1961-05-11,NA,0,0,NA,2.1,NA,NA,NA,NA,NA,NA
"133",1961-05-12,NA,0,0,NA,4,NA,NA,NA,NA,NA,NA
"134",1961-05-13,NA,0,0,NA,1.4,NA,NA,NA,NA,NA,NA
"135",1961-05-14,NA,0,0,NA,1.2,NA,NA,NA,NA,NA,NA
"136",1961-05-15,NA,0,0,NA,7,NA,NA,NA,NA,NA,NA
"137",1961-05-16,NA,0,0,NA,4.2,NA,NA,NA,NA,NA,NA
"138",1961-05-17,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"139",1961-05-18,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"140",1961-05-19,NA,0,0,NA,0.8,NA,NA,NA,NA,NA,NA
"141",1961-05-20,NA,0,0,NA,11.4,NA,NA,NA,NA,NA,NA
"142",1961-05-21,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"143",1961-05-22,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"144",1961-05-23,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"145",1961-05-24,NA,0,0,NA,1.2,NA,NA,NA,NA,NA,NA
"146",1961-05-25,NA,0,0,NA,35.1,NA,NA,NA,NA,NA,NA
"147",1961-05-26,NA,0,0,NA,1.2,NA,NA,NA,NA,NA,NA
"148",1961-05-27,NA,0,0,NA,4.8,NA,NA,NA,NA,NA,NA
"149",1961-05-28,NA,0,0,NA,21,NA,NA,NA,NA,NA,NA
"150",1961-05-29,NA,0,0,NA,2.9,NA,NA,NA,NA,NA,NA
"151",1961-05-30,NA,0,0,NA,1.5,NA,NA,NA,NA,NA,NA
"152",1961-09-30,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"153",1961-10-01,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"154",1961-10-02,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"155",1961-10-03,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"156",1961-10-04,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"157",1961-10-05,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"158",1961-10-06,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"159",1961-10-07,NA,0,0,NA,6.6,NA,NA,NA,NA,NA,NA
"160",1961-10-08,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"161",1961-10-09,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"162",1961-10-10,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"163",1961-10-11,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"164",1961-10-12,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"165",1961-10-13,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"166",1961-10-14,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"167",1961-10-15,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"168",1961-10-16,NA,0,0,NA,14.2,NA,NA,NA,NA,NA,NA
"169",1961-10-17,NA,0,0,NA,10.6,NA,NA,NA,NA,NA,NA
"170",1961-10-18,NA,0,0,NA,0.3,NA,NA,NA,NA,NA,NA
"171",1961-10-19,NA,0,0,NA,6.9,NA,NA,NA,NA,NA,NA
"172",1961-10-20,NA,0,0,NA,8.4,NA,NA,NA,NA,NA,NA
"173",1961-10-21,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"174",1961-10-22,NA,0,0,NA,2.9,NA,NA,NA,NA,NA,NA
"175",1961-10-23,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"176",1961-10-24,NA,0,0,NA,2.8,NA,NA,NA,NA,NA,NA
"177",1961-10-25,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"178",1961-10-26,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"179",1961-10-27,NA,0,0,NA,0.8,NA,NA,NA,NA,NA,NA
"180",1961-10-28,NA,0,0,NA,1.2,NA,NA,NA,NA,NA,NA
"181",1961-10-29,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"182",1961-10-30,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"183",1961-10-31,NA,0,0,NA,5.9,NA,NA,NA,NA,NA,NA
"184",1961-11-01,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"185",1961-11-02,NA,0,0,NA,4.5,NA,NA,NA,NA,NA,NA
"186",1961-11-03,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"187",1961-11-04,NA,0,0,NA,1.6,NA,NA,NA,NA,NA,NA
"188",1961-11-05,NA,0,0,NA,5.2,NA,NA,NA,NA,NA,NA
"189",1961-11-06,NA,0,0,NA,3.5,NA,NA,NA,NA,NA,NA
"190",1961-11-07,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"191",1961-11-08,NA,0,0,NA,2.7,NA,NA,NA,NA,NA,NA
"192",1961-11-09,NA,0,0,NA,3.5,NA,NA,NA,NA,NA,NA
"193",1961-11-10,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA
"194",1961-11-11,NA,0,0,NA,0.6,NA,NA,NA,NA,NA,NA
"195",1961-11-12,NA,0,0,NA,15.8,NA,NA,NA,NA,NA,NA
"196",1961-11-13,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"197",1961-11-14,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"198",1961-11-15,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"199",1961-11-16,NA,0,0,NA,1.8,NA,NA,NA,NA,NA,NA
"200",1961-11-17,NA,0,0,NA,0.9,NA,NA,NA,NA,NA,NA
"201",1961-11-18,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"202",1961-11-19,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"203",1961-11-20,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"204",1961-11-21,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"205",1961-11-22,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"206",1961-11-23,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"207",1961-11-24,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"208",1961-11-25,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"209",1961-11-26,NA,0,0,NA,0.1,NA,NA,NA,NA,NA,NA
"210",1961-11-27,NA,0,0,NA,8.6,NA,NA,NA,NA,NA,NA
"211",1961-11-28,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"212",1961-11-29,NA,0,5,NA,32.2,NA,NA,NA,NA,NA,NA
"213",1961-11-30,NA,5,0,NA,5,NA,NA,NA,NA,NA,NA
"214",1961-12-01,NA,0,0,NA,4,NA,NA,NA,NA,NA,NA
"215",1961-12-02,NA,0,0,NA,12,NA,NA,NA,NA,NA,NA
"216",1961-12-03,NA,0,0,NA,4.6,NA,NA,NA,NA,NA,NA
"217",1961-12-04,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"218",1961-12-05,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"219",1961-12-06,NA,0,NA,NA,0.1,NA,NA,NA,NA,NA,NA
"220",1961-12-07,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"221",1961-12-08,NA,0,NA,NA,0.4,NA,NA,NA,NA,NA,NA
"222",1961-12-09,NA,0,NA,NA,3.7,NA,NA,NA,NA,NA,NA
"223",1961-12-10,NA,0,NA,NA,45.6,NA,NA,NA,NA,NA,NA
"224",1961-12-11,NA,0,0,NA,6.4,NA,NA,NA,NA,NA,NA
"225",1961-12-12,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"226",1961-12-13,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"227",1961-12-14,NA,0,6,NA,2.1,NA,NA,NA,NA,NA,NA
"228",1961-12-15,NA,6,0,NA,0,NA,NA,NA,NA,NA,NA
"229",1961-12-16,NA,6,0,NA,0,NA,NA,NA,NA,NA,NA
"230",1961-12-17,NA,6,0,NA,0,NA,NA,NA,NA,NA,NA
"231",1961-12-18,NA,6,0,NA,0,NA,NA,NA,NA,NA,NA
"232",1961-12-19,NA,5,0,NA,0,NA,NA,NA,NA,NA,NA
"233",1961-12-20,NA,5,1,NA,0.7,NA,NA,NA,NA,NA,NA
"234",1961-12-21,NA,6,10,NA,3.2,NA,NA,NA,NA,NA,NA
"235",1961-12-22,NA,16,0,NA,0,NA,NA,NA,NA,NA,NA
"236",1961-12-23,NA,16,0,NA,0,NA,NA,NA,NA,NA,NA
"237",1961-12-24,NA,16,0,NA,0,NA,NA,NA,NA,NA,NA
"238",1961-12-25,NA,15,0,NA,0,NA,NA,NA,NA,NA,NA
"239",1961-12-26,NA,15,0,NA,0,NA,NA,NA,NA,NA,NA
"240",1961-12-27,NA,15,0,NA,0,NA,NA,NA,NA,NA,NA
"241",1961-12-28,NA,15,0,NA,0,NA,NA,NA,NA,NA,NA
"242",1961-12-29,NA,15,0,NA,0,NA,NA,NA,NA,NA,NA
"243",1961-12-30,NA,14,0,NA,0,NA,NA,NA,NA,NA,NA
"244",1961-12-31,NA,14,0,NA,0,NA,NA,NA,NA,NA,NA
"245",1962-01-01,NA,14,0,NA,0,NA,NA,NA,NA,NA,NA
"246",1962-01-02,NA,14,0,NA,0,NA,NA,NA,NA,NA,NA
"247",1962-01-03,NA,14,0,NA,0,NA,NA,NA,NA,NA,NA
"248",1962-01-04,NA,14,0,NA,0,NA,NA,NA,NA,NA,NA
"249",1962-01-05,NA,14,1,NA,1,NA,NA,NA,NA,NA,NA
"250",1962-01-06,NA,14,0,NA,0,NA,NA,NA,NA,NA,NA
"251",1962-01-07,NA,14,0,NA,0,NA,NA,NA,NA,NA,NA
"252",1962-01-08,NA,14,0,NA,0,NA,NA,NA,NA,NA,NA
"253",1962-01-09,NA,14,0,NA,0,NA,NA,NA,NA,NA,NA
"254",1962-01-10,NA,14,5,NA,8.7,NA,NA,NA,NA,NA,NA
"255",1962-01-11,NA,15,12,NA,15.7,NA,NA,NA,NA,NA,NA
"256",1962-01-12,NA,27,4,NA,2.8,NA,NA,NA,NA,NA,NA
"257",1962-01-13,NA,31,5,NA,3,NA,NA,NA,NA,NA,NA
"258",1962-01-14,NA,36,0,NA,0,NA,NA,NA,NA,NA,NA
"259",1962-01-15,NA,36,0,NA,0,NA,NA,NA,NA,NA,NA
"260",1962-01-16,NA,36,0,NA,0,NA,NA,NA,NA,NA,NA
"261",1962-01-17,NA,36,0,NA,0,NA,NA,NA,NA,NA,NA
"262",1962-01-18,NA,36,0,NA,11.5,NA,NA,NA,NA,NA,NA
"263",1962-01-19,NA,36,0,NA,7.9,NA,NA,NA,NA,NA,NA
"264",1962-01-20,NA,36,0,NA,5.7,NA,NA,NA,NA,NA,NA
"265",1962-01-21,NA,36,0,NA,0,NA,NA,NA,NA,NA,NA
"266",1962-01-22,NA,36,7,NA,4.7,NA,NA,NA,NA,NA,NA
"267",1962-01-23,NA,33,12,NA,42.8,NA,NA,NA,NA,NA,NA
"268",1962-01-24,NA,45,0,NA,10.2,NA,NA,NA,NA,NA,NA
"269",1962-01-25,NA,45,0,NA,3,NA,NA,NA,NA,NA,NA
"270",1962-01-26,NA,45,2,NA,2,NA,NA,NA,NA,NA,NA
"271",1962-01-27,NA,45,10,NA,10.9,NA,NA,NA,NA,NA,NA
"272",1962-01-28,NA,55,4,NA,2,NA,NA,NA,NA,NA,NA
"273",1962-01-29,NA,59,0,NA,0,NA,NA,NA,NA,NA,NA
"274",1962-01-30,NA,59,0,NA,0,NA,NA,NA,NA,NA,NA
"275",1962-01-31,NA,59,0,NA,0,NA,NA,NA,NA,NA,NA
"276",1962-02-01,NA,59,0,NA,0,NA,NA,NA,NA,NA,NA
"277",1962-02-02,NA,59,0,NA,0,NA,NA,NA,NA,NA,NA
"278",1962-02-03,NA,59,0,NA,0,NA,NA,NA,NA,NA,NA
"279",1962-02-04,NA,59,18,NA,10.8,NA,NA,NA,NA,NA,NA
"280",1962-02-05,NA,77,0,NA,0,NA,NA,NA,NA,NA,NA
"281",1962-02-06,NA,77,0,NA,0,NA,NA,NA,NA,NA,NA
"282",1962-02-07,NA,77,0,NA,5.6,NA,NA,NA,NA,NA,NA
"283",1962-02-08,NA,75,0,NA,0,NA,NA,NA,NA,NA,NA
"284",1962-02-09,NA,73,0,NA,0,NA,NA,NA,NA,NA,NA
"285",1962-02-10,NA,73,0,NA,0,NA,NA,NA,NA,NA,NA
"286",1962-02-11,NA,71,8,NA,28.4,NA,NA,NA,NA,NA,NA
"287",1962-02-12,NA,77,2,NA,5.4,NA,NA,NA,NA,NA,NA
"288",1962-02-13,NA,78,10,NA,6,NA,NA,NA,NA,NA,NA
"289",1962-02-14,NA,87,7,NA,4,NA,NA,NA,NA,NA,NA
"290",1962-02-15,NA,94,25,NA,20.4,NA,NA,NA,NA,NA,NA
"291",1962-02-16,NA,114,3,NA,2.6,NA,NA,NA,NA,NA,NA
"292",1962-02-17,NA,117,6,NA,4.2,NA,NA,NA,NA,NA,NA
"293",1962-02-18,NA,123,2,NA,0.8,NA,NA,NA,NA,NA,NA
"294",1962-02-19,NA,125,0,NA,0,NA,NA,NA,NA,NA,NA
"295",1962-02-20,NA,125,5,NA,3.4,NA,NA,NA,NA,NA,NA
"296",1962-02-21,NA,130,0,NA,0,NA,NA,NA,NA,NA,NA
"297",1962-02-22,NA,130,1,NA,0.2,NA,NA,NA,NA,NA,NA
"298",1962-02-23,NA,131,3,NA,1.8,NA,NA,NA,NA,NA,NA
"299",1962-02-24,NA,134,0,NA,0,NA,NA,NA,NA,NA,NA
"300",1962-02-25,NA,134,0,NA,0,NA,NA,NA,NA,NA,NA
"301",1962-02-26,NA,134,1,NA,0.4,NA,NA,NA,NA,NA,NA
"302",1962-02-27,NA,135,0,NA,0,NA,NA,NA,NA,NA,NA
"303",1962-02-28,NA,135,0,NA,0,NA,NA,NA,NA,NA,NA
"304",1962-03-01,NA,135,6,NA,4.9,NA,NA,NA,NA,NA,NA
"305",1962-03-02,NA,141,2,NA,1.4,NA,NA,NA,NA,NA,NA
"306",1962-03-03,NA,143,10,NA,6.5,NA,NA,NA,NA,NA,NA
"307",1962-03-04,NA,152,7,NA,6.5,NA,NA,NA,NA,NA,NA
"308",1962-03-05,NA,159,1,NA,0.3,NA,NA,NA,NA,NA,NA
"309",1962-03-06,NA,160,0,NA,0,NA,NA,NA,NA,NA,NA
"310",1962-03-07,NA,160,0,NA,0,NA,NA,NA,NA,NA,NA
"311",1962-03-08,NA,160,0,NA,0,NA,NA,NA,NA,NA,NA
"312",1962-03-09,NA,160,0,NA,0,NA,NA,NA,NA,NA,NA
"313",1962-03-10,NA,160,0,NA,0,NA,NA,NA,NA,NA,NA
"314",1962-03-11,NA,160,6,NA,4.1,NA,NA,NA,NA,NA,NA
"315",1962-03-12,NA,166,0,NA,0,NA,NA,NA,NA,NA,NA
"316",1962-03-13,NA,166,1,NA,0.2,NA,NA,NA,NA,NA,NA
"317",1962-03-14,NA,167,1,NA,0.6,NA,NA,NA,NA,NA,NA
"318",1962-03-15,NA,168,0,NA,0,NA,NA,NA,NA,NA,NA
"319",1962-03-16,NA,168,0,NA,0,NA,NA,NA,NA,NA,NA
"320",1962-03-17,NA,168,0,NA,0,NA,NA,NA,NA,NA,NA
"321",1962-03-18,NA,168,0,NA,0,NA,NA,NA,NA,NA,NA
"322",1962-03-19,NA,168,0,NA,0,NA,NA,NA,NA,NA,NA
"323",1962-03-20,NA,168,0,NA,0,NA,NA,NA,NA,NA,NA
"324",1962-03-21,NA,168,0,NA,0,NA,NA,NA,NA,NA,NA
"325",1962-03-22,NA,168,0,NA,0,NA,NA,NA,NA,NA,NA
"326",1962-03-23,NA,168,0,NA,0,NA,NA,NA,NA,NA,NA
"327",1962-03-24,NA,168,0,NA,0,NA,NA,NA,NA,NA,NA
"328",1962-03-25,NA,168,0,NA,0,NA,NA,NA,NA,NA,NA
"329",1962-03-26,NA,168,0,NA,0,NA,NA,NA,NA,NA,NA
"330",1962-03-27,NA,168,5,NA,2,NA,NA,NA,NA,NA,NA
"331",1962-03-28,NA,173,0,NA,15.1,NA,NA,NA,NA,NA,NA
"332",1962-03-29,NA,173,0,NA,24.6,NA,NA,NA,NA,NA,NA
"333",1962-03-30,NA,173,0,NA,10.9,NA,NA,NA,NA,NA,NA
"334",1962-03-31,NA,NA,0,NA,3.4,NA,NA,NA,NA,NA,NA
"335",1962-04-01,NA,NA,0,NA,4.5,NA,NA,NA,NA,NA,NA
"336",1962-04-02,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA
"337",1962-04-03,NA,NA,0,NA,12.5,NA,NA,NA,NA,NA,NA
"338",1962-04-04,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA
"339",1962-04-05,NA,NA,0,NA,1.2,NA,NA,NA,NA,NA,NA
